,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
165,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 6 a 9 años,16580,8400,8180,9556,4750,4806,7024,3650,3374
166,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 10 a 14 años,17300,8852,8448,15945,8141,7804,1355,711,644
167,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 15 a 19 años,13296,6753,6543,12278,6242,6036,1018,511,507
168,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 20 a 24 años,10412,5154,5258,9429,4675,4754,983,479,504
169,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 25 a 29 años,8661,4406,4255,7794,4012,3782,867,394,473
170,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 30 a 34 años,6846,3604,3242,6140,3277,2863,706,327,379
171,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 35 a 39 años,6612,3490,3122,5813,3108,2705,799,382,417
172,Estados Unidos Mexicanos,"Baja California, Territorio",Total,De 40 años y más,21907,11423,10484,17127,9082,8045,4780,2341,2439
173,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,Total,46750,24486,22264,36881,19375,17506,9869,5111,4758
174,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 6 a 9 años,7742,3889,3853,4020,1957,2063,3722,1932,1790
175,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 10 a 14 años,7711,3988,3723,6845,3533,3312,866,455,411
176,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 15 a 19 años,5837,2983,2854,5230,2654,2576,607,329,278
177,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 20 a 24 años,4672,2422,2250,4115,2132,1983,557,290,267
178,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 25 a 29 años,4022,2127,1895,3559,1900,1659,463,227,236
179,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 30 a 34 años,3083,1675,1408,2699,1484,1215,384,191,193
180,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 35 a 39 años,2926,1583,1343,2494,1366,1128,432,217,215
181,Estados Unidos Mexicanos,"Baja California, Territorio",Hasta 2 499 habitantes,De 40 años y más,10757,5819,4938,7919,4349,3570,2838,1470,1368
182,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,Total,4186,2066,2120,3769,1866,1903,417,200,217
183,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,De 6 a 9 años,643,326,317,448,225,223,195,101,94
184,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,De 10 a 14 años,724,365,359,705,356,349,19,9,10
185,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,De 15 a 19 años,571,304,267,551,297,254,20,7,13
186,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,De 20 a 24 años,376,168,208,360,162,198,16,6,10
187,Estados Unidos Mexicanos,"Baja California, Territorio",De 2 500 a 4 999 habitantes,De 25 a 29 años,329,158,171,320,155,165,9,3,6
