,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
110,Estados Unidos Mexicanos,10 Durango,12 años,36835,19002,17833,35936,18455,17481,861,522,339,38,25,13
111,Estados Unidos Mexicanos,10 Durango,13 años,34892,17534,17358,34088,17087,17001,757,415,342,47,32,15
112,Estados Unidos Mexicanos,10 Durango,14 años,34094,17219,16875,33266,16720,16546,781,475,306,47,24,23
113,Estados Unidos Mexicanos,11 Guanajuato,Total,1005653,507310,498343,858623,429597,429026,144781,76518,68263,2249,1195,1054
114,Estados Unidos Mexicanos,11 Guanajuato,6 años,111205,56047,55158,37568,18644,18924,72906,37013,35893,731,390,341
115,Estados Unidos Mexicanos,11 Guanajuato,7 años,107617,54871,52746,80839,40613,40226,26476,14099,12377,302,159,143
116,Estados Unidos Mexicanos,11 Guanajuato,8 años,118055,59773,58282,102964,51370,51594,14870,8272,6598,221,131,90
117,Estados Unidos Mexicanos,11 Guanajuato,9 años,111534,56305,55229,103311,51686,51625,7990,4501,3489,233,118,115
118,Estados Unidos Mexicanos,11 Guanajuato,10 años,118957,60454,58503,112594,56832,55762,6191,3534,2657,172,88,84
119,Estados Unidos Mexicanos,11 Guanajuato,11 años,104242,52953,51289,100123,50581,49542,3977,2294,1683,142,78,64
120,Estados Unidos Mexicanos,11 Guanajuato,12 años,116068,58960,57108,111772,56506,55266,4153,2379,1774,143,75,68
121,Estados Unidos Mexicanos,11 Guanajuato,13 años,108993,54148,54845,104958,51940,53018,3875,2129,1746,160,79,81
122,Estados Unidos Mexicanos,11 Guanajuato,14 años,108982,53799,55183,104494,51425,53069,4343,2297,2046,145,77,68
123,Estados Unidos Mexicanos,12 Guerrero,Total,707576,358835,348741,532608,269018,263590,173859,89237,84622,1109,580,529
124,Estados Unidos Mexicanos,12 Guerrero,6 años,79150,40058,39092,18594,9395,9199,60189,30468,29721,367,195,172
125,Estados Unidos Mexicanos,12 Guerrero,7 años,77116,39156,37960,42518,21337,21181,34434,17746,16688,164,73,91
126,Estados Unidos Mexicanos,12 Guerrero,8 años,86241,43737,42504,61102,30676,30426,25027,13002,12025,112,59,53
127,Estados Unidos Mexicanos,12 Guerrero,9 años,77654,39214,38440,63027,31516,31511,14519,7639,6880,108,59,49
128,Estados Unidos Mexicanos,12 Guerrero,10 años,85554,43928,41626,72917,37177,35740,12551,6708,5843,86,43,43
129,Estados Unidos Mexicanos,12 Guerrero,11 años,69396,35187,34209,62613,31655,30958,6706,3492,3214,77,40,37
130,Estados Unidos Mexicanos,12 Guerrero,12 años,83358,43167,40191,75444,38993,36451,7840,4129,3711,74,45,29
131,Estados Unidos Mexicanos,12 Guerrero,13 años,74750,37280,37470,68461,34223,34238,6226,3027,3199,63,30,33
132,Estados Unidos Mexicanos,12 Guerrero,14 años,74357,37108,37249,67932,34046,33886,6367,3026,3341,58,36,22
133,Estados Unidos Mexicanos,13 Hidalgo,Total,483433,244337,239096,422178,212904,209274,60469,31034,29435,786,399,387
134,Estados Unidos Mexicanos,13 Hidalgo,6 años,52043,26037,26006,23106,11453,11653,28718,14480,14238,219,104,115
135,Estados Unidos Mexicanos,13 Hidalgo,7 años,50726,25706,25020,39355,19755,19600,11278,5903,5375,93,48,45
136,Estados Unidos Mexicanos,13 Hidalgo,8 años,57302,29083,28219,50127,25245,24882,7088,3789,3299,87,49,38
137,Estados Unidos Mexicanos,13 Hidalgo,9 años,53609,27091,26518,49743,25019,24724,3745,2005,1740,121,67,54
138,Estados Unidos Mexicanos,13 Hidalgo,10 años,56641,28974,27667,53757,27440,26317,2814,1495,1319,70,39,31
139,Estados Unidos Mexicanos,13 Hidalgo,11 años,50483,25529,24954,48742,24663,24079,1695,842,853,46,24,22
140,Estados Unidos Mexicanos,13 Hidalgo,12 años,56787,29088,27699,54926,28151,26775,1808,915,893,53,22,31
141,Estados Unidos Mexicanos,13 Hidalgo,13 años,53652,26596,27056,52003,25800,26203,1594,773,821,55,23,32
142,Estados Unidos Mexicanos,13 Hidalgo,14 años,52190,26233,25957,50419,25378,25041,1729,832,897,42,23,19
143,Estados Unidos Mexicanos,14 Jalisco,Total,1289445,654035,635410,1134058,571302,562756,152149,81075,71074,3238,1658,1580
144,Estados Unidos Mexicanos,14 Jalisco,6 años,142997,72288,70709,52445,25952,26493,89425,45792,43633,1127,544,583
145,Estados Unidos Mexicanos,14 Jalisco,7 años,142092,72557,69535,115665,58055,57610,26025,14276,11749,402,226,176
146,Estados Unidos Mexicanos,14 Jalisco,8 años,147198,74675,72523,134684,67617,67067,12211,6888,5323,303,170,133
147,Estados Unidos Mexicanos,14 Jalisco,9 años,141957,71748,70209,134715,67640,67075,6917,3950,2967,325,158,167
148,Estados Unidos Mexicanos,14 Jalisco,10 años,149347,76224,73123,144085,73161,70924,5019,2924,2095,243,139,104
149,Estados Unidos Mexicanos,14 Jalisco,11 años,138214,70227,67987,134626,68145,66481,3373,1980,1393,215,102,113
150,Estados Unidos Mexicanos,14 Jalisco,12 años,147228,75023,72205,143759,73019,70740,3258,1893,1365,211,111,100
151,Estados Unidos Mexicanos,14 Jalisco,13 años,140858,71175,69683,137703,69387,68316,2953,1685,1268,202,103,99
152,Estados Unidos Mexicanos,14 Jalisco,14 años,139554,70118,69436,136376,68326,68050,2968,1687,1281,210,105,105
153,Estados Unidos Mexicanos,15 México,Total,2445771,1236521,1209250,2251978,1137388,1114590,187752,96034,91718,6041,3099,2942
154,Estados Unidos Mexicanos,15 México,6 años,282259,142523,139736,158956,79747,79209,121400,61759,59641,1903,1017,886
155,Estados Unidos Mexicanos,15 México,7 años,267496,136204,131292,240792,122222,118570,26006,13636,12370,698,346,352
156,Estados Unidos Mexicanos,15 México,8 años,285503,144927,140576,272482,138088,134394,12394,6518,5876,627,321,306
157,Estados Unidos Mexicanos,15 México,9 años,266093,134527,131566,258777,130786,127991,6563,3393,3170,753,348,405
158,Estados Unidos Mexicanos,15 México,10 años,283788,144755,139033,277783,141571,136212,5543,2932,2611,462,252,210
159,Estados Unidos Mexicanos,15 México,11 años,252838,128239,124599,248853,126141,122712,3579,1876,1703,406,222,184
160,Estados Unidos Mexicanos,15 México,12 años,280977,142532,138445,276347,140194,136153,4217,2138,2079,413,200,213
161,Estados Unidos Mexicanos,15 México,13 años,264366,132105,132261,260098,130095,130003,3878,1818,2060,390,192,198
162,Estados Unidos Mexicanos,15 México,14 años,262451,130709,131742,257890,128544,129346,4172,1964,2208,389,201,188
163,Estados Unidos Mexicanos,16 Michoacán,Total,901114,455747,445367,741067,370221,370846,157867,84430,73437,2180,1096,1084
164,Estados Unidos Mexicanos,16 Michoacán,6 años,97883,49249,48634,29403,14519,14884,67722,34346,33376,758,384,374
165,Estados Unidos Mexicanos,16 Michoacán,7 años,96608,49249,47359,65692,32660,33032,30661,16460,14201,255,129,126
166,Estados Unidos Mexicanos,16 Michoacán,8 años,106962,54148,52814,87380,43379,44001,19375,10665,8710,207,104,103
167,Estados Unidos Mexicanos,16 Michoacán,9 años,98171,49537,48634,87425,43497,43928,10535,5933,4602,211,107,104
168,Estados Unidos Mexicanos,16 Michoacán,10 años,107408,55065,52343,98594,50062,48532,8634,4901,3733,180,102,78
169,Estados Unidos Mexicanos,16 Michoacán,11 años,92096,46415,45681,86839,43318,43521,5119,3023,2096,138,74,64
170,Estados Unidos Mexicanos,16 Michoacán,12 años,105595,54006,51589,99922,50742,49180,5533,3199,2334,140,65,75
171,Estados Unidos Mexicanos,16 Michoacán,13 años,97871,48862,49009,92813,45995,46818,4914,2799,2115,144,68,76
172,Estados Unidos Mexicanos,16 Michoacán,14 años,98520,49216,49304,92999,46049,46950,5374,3104,2270,147,63,84
